,formula,ionConv,eleConv,fenergy(ev),nofsA,nofsB,nofsC,H,H_per,ratioA,ratioB,ratioC
592,Ti3 V2 Cu1,TRUE,TRUE,-44.55910755 eV,3,2,1,0.035584100000000785,0.005930683333333464,0.5,0.3333,0.1667
593,Ti1 V2 Cu3,TRUE,TRUE,-36.26610269 eV,1,2,3,0.22268798000000523,0.03711466333333421,0.1667,0.3333,0.5
594,Ti1 V1 Cu2,TRUE,TRUE,-23.04472242 eV,1,1,2,0.8613063300000023,0.21532658250000059,0.25,0.25,0.5
595,Ti3 V1 Cu2,TRUE,TRUE,-39.03945832 eV,3,1,2,0.24278774999999886,0.04046462499999981,0.5,0.1667,0.3333
596,Ti2 V1 Cu3,TRUE,TRUE,-34.87587218 eV,2,1,3,0.3534234000000005,0.058903900000000085,0.3333,0.1667,0.5
597,Ti2 V2 Cu2,TRUE,TRUE,-40.35816624 eV,2,2,2,0.18357492000000075,0.030595820000000124,0.3333,0.3333,0.3333
598,Ti2 V2 Cu2,TRUE,TRUE,-41.30884793 eV,2,2,2,-0.7671067699999954,-0.12785112833333256,0.3333,0.3333,0.3333
599,Ti4 V1 Cu1,FALSE,TRUE,-43.16414981 eV,4,1,1,0.17104675000000347,0.028507791666667243,0.6667,0.1667,0.1667
600,Ti2 V1 Cu3,FALSE,TRUE,-35.07763904 eV,2,1,3,0.15165654000000117,0.025276090000000195,0.3333,0.1667,0.5
601,Ti3 V1 Cu2,TRUE,TRUE,-39.4918677 eV,3,1,2,-0.20962163,-0.034936938333333334,0.5,0.1667,0.3333
602,Ti1 V2 Cu3,TRUE,TRUE,-35.3834342 eV,1,2,3,1.1053564699999985,0.18422607833333307,0.1667,0.3333,0.5
603,Ti1 V4 Cu1,TRUE,TRUE,-46.82311123 eV,1,4,1,0.29057059999999835,0.048428433333333055,0.1667,0.6667,0.1667
604,Ti3 V1 Cu1,TRUE,TRUE,-35.30357894 eV,3,1,1,0.343508959999999,0.06870179199999979,0.6,0.2,0.2
605,Ti2 V3 Cu1,TRUE,TRUE,-45.65333238 eV,2,3,1,0.20085436000000412,0.03347572666666735,0.3333,0.5,0.1667
606,Ti2 V3 Cu1,TRUE,TRUE,-45.5487073 eV,2,3,1,0.3054794400000094,0.05091324000000156,0.3333,0.5,0.1667
607,Ti2 V2 Cu2,TRUE,TRUE,-40.23156859 eV,2,2,2,0.31017257000000154,0.05169542833333359,0.3333,0.3333,0.3333
608,Ti2 V2 Cu2,TRUE,TRUE,-39.58541178 eV,2,2,2,0.9563293800000023,0.15938823000000038,0.3333,0.3333,0.3333
609,Ti1 V4 Cu1,TRUE,TRUE,-46.9688596 eV,1,4,1,0.1448222299999986,0.0241370383333331,0.1667,0.6667,0.1667
610,Ti1 V1 Cu4,TRUE,TRUE,-30.60086418 eV,1,1,4,0.5754809100000031,0.09591348500000052,0.1667,0.1667,0.6667
611,Ti4 V1 Cu1,TRUE,TRUE,-43.57712009 eV,4,1,1,-0.24192352999999978,-0.040320588333333296,0.6667,0.1667,0.1667
