POSCAR_FILE, formular, ion_conv, ele_conv, final_energy, out_dir
./str/POSCAR_S_xgyeb938.vasp, Ti1 V4 Cu1, True, True, -47.05769495 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_7E5A1R
./str/POSCAR_S_33os5uwn.vasp, Ti1 V3 Cu2, True, True, -41.34789073 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_03ZLD7
./str/POSCAR_S_u_x7c0qf.vasp, Ti1 V2 Cu3, True, True, -36.45023668 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_FLA7GD
./str/POSCAR_S_7rq5qa5w.vasp, Ti1 V2 Cu3, True, True, -36.15964748 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_S4P3UN
./str/POSCAR_S_d8ci8f1w.vasp, Ti3 V2 Cu1, True, True, -44.05074714 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_39KMIP
./str/POSCAR_S_nh7w4ymi.vasp, Ti3 V1 Cu2, True, True, -39.11398536 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_6571OT
./str/POSCAR_S_6h93ebu9.vasp, Ti3 V1 Cu2, False, True, -38.37748381 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_08NIAT
./str/POSCAR_S_b_646hca.vasp, Ti2 V1 Cu2, True, True, -32.24050047 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_J43DQH
./str/POSCAR_S_hr4pl5ko.vasp, Ti1 V2 Cu2, True, True, -32.37412435 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_GQOY7Z
./str/POSCAR_S_b2xm__um.vasp, Ti1 V3 Cu2, True, True, -41.22185892 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_LIOWJ6
./str/POSCAR_S_4ur191z_.vasp, Ti2 V1 Cu1, True, True, -28.03665865 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_QL104H
./str/POSCAR_S_lg1icpi4.vasp, Ti2 V1 Cu1, True, True, -27.49338522 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_BEWKK7
./str/POSCAR_S_sez190jd.vasp, Ti2 V1 Cu1, True, True, -27.75062585 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_22Y8VR
./str/POSCAR_S_ui45ypbe.vasp, Ti3 V2 Cu1, True, True, -44.33770716 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_UXL6W9
./str/POSCAR_S_drni18r1.vasp, Ti2 V2 Cu1, True, True, -37.38920764 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_LYKZO3
./str/POSCAR_S_4fyhwxob.vasp, Ti1 V3 Cu2, True, True, -41.2551542 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_YZNFVV
./str/POSCAR_S_jop_abza.vasp, Ti1 V1 Cu2, True, True, -23.51084869 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_047CBF
./str/POSCAR_S_4rd_vdy6.vasp, Ti3 V1 Cu1, True, True, -35.44758389 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_GWRZOV
./str/POSCAR_S_sjwlawcm.vasp, Ti3 V1 Cu2, False, True, -39.78924836 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_97YLK2
./str/POSCAR_S_7asxce2o.vasp, Ti4 V1 Cu1, False, True, -43.11368725 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_9I0GRV
./str/POSCAR_S_dhtt6ovi.vasp, Ti1 V2 Cu3, True, True, -35.75583841 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_PMZJ3A
